,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
1,frozenset({'6 Pack Soft Drink'}),frozenset({'Chicken Burrito'}),0.029443838604143947,0.26663031624863687,0.010359869138495093,0.35185185185185186,1.319624327804287,1.0,0.0025092491398983705,1.1314846549306745,0.24955647545830878,0.03625954198473282,0.11620542475561063,0.19535332878891162
34,frozenset({'Veggie Burrito'}),frozenset({'Chips and Guacamole'}),0.04961832061068702,0.2584514721919302,0.016902944383860415,0.34065934065934067,1.3180785459266473,1.0,0.0040790163743371615,1.1246819338422391,0.25391890141210016,0.058052434456928835,0.11085972850678734,0.2030300922705986
32,frozenset({'Veggie Bowl'}),frozenset({'Chips and Guacamole'}),0.04471101417666303,0.2584514721919302,0.014721919302071973,0.32926829268292684,1.2740043223217044,1.0,0.00316629186491915,1.1055814414593041,0.22513952308472848,0.051039697542533076,0.09549856527977046,0.19311515899969128
44,"frozenset({'Chicken Bowl', 'Canned Soft Drink'})",frozenset({'Chips'}),0.06052344601962922,0.1134133042529989,0.019083969465648856,0.3153153153153153,2.7802321552321554,1.0,0.01221980546778469,1.2948832003673305,0.6815686924798938,0.12323943661971833,0.22772957459304324,0.24179227304227305
23,frozenset({'Chicken Soft Tacos'}),frozenset({'Chips and Guacamole'}),0.05834242093784078,0.2584514721919302,0.017448200654307525,0.29906542056074764,1.15714342048188,1.0,0.002369516071681281,1.057942566339513,0.144216850028952,0.058287795992714025,0.05476910390324351,0.1832879845419772
42,"frozenset({'Chips', 'Chicken Bowl'})",frozenset({'Canned Soft Drink'}),0.06652126499454744,0.1504907306434024,0.019083969465648856,0.28688524590163933,1.9063316702304585,1.0,0.009073135693296023,1.1912658719713207,0.5093124165554072,0.09641873278236915,0.16055682989961909,0.20684842005226894
30,frozenset({'Steak Bowl'}),frozenset({'Chips and Guacamole'}),0.1025081788440567,0.2584514721919302,0.028898582333696837,0.28191489361702127,1.090784630577251,1.0,0.002405192599736705,1.0326749868734602,0.09273481739608878,0.0870279146141215,0.031641113892365444,0.1968646198042912
16,frozenset({'Chips'}),frozenset({'Canned Soft Drink'}),0.1134133042529989,0.1504907306434024,0.03162486368593239,0.27884615384615385,1.85291248606466,1.0,0.014557212664216088,1.1779861868411485,0.5191924333036434,0.13615023474178406,0.15109361113854056,0.2444955406911929
28,frozenset({'Chips and Fresh Tomato Salsa'}),frozenset({'Steak Burrito'}),0.05997818974918211,0.18647764449291168,0.015267175572519083,0.2545454545454545,1.3650186071238701,1.0,0.0040825840271427015,1.0913104768997526,0.28447132913490214,0.06603773584905659,0.08367048501096754,0.16820839978734714
36,"frozenset({'Chips', 'Chicken Bowl'})",frozenset({'Bottled Water'}),0.06652126499454744,0.08396946564885496,0.015267175572519083,0.22950819672131148,2.7332339791356186,1.0,0.009681420496641054,1.1888906935195713,0.679322429906542,0.1129032258064516,0.15887978142076503,0.20566318926974664
7,frozenset({'Bottled Water'}),frozenset({'Chips'}),0.08396946564885496,0.1134133042529989,0.019083969465648856,0.22727272727272727,2.0039335664335662,1.0,0.009560714910053527,1.1473474886137662,0.5469047619047619,0.10703363914373089,0.12842446606284244,0.197770979020979
25,frozenset({'Chicken Soft Tacos'}),frozenset({'Steak Burrito'}),0.05834242093784078,0.18647764449291168,0.013086150490730643,0.22429906542056074,1.20282013444827,1.0,0.0022065932602281634,1.0487577354127524,0.17906774753908514,0.05647058823529411,0.04649094234672144,0.147237252008526
17,frozenset({'Canned Soft Drink'}),frozenset({'Chips'}),0.1504907306434024,0.1134133042529989,0.03162486368593239,0.2101449275362319,1.8529124860646602,1.0,0.014557212664216088,1.122467559753084,0.5418529502899385,0.13615023474178406,0.10910565627395406,0.2444955406911929
19,frozenset({'Chicken Bowl'}),frozenset({'Chips'}),0.33533260632497275,0.1134133042529989,0.06652126499454744,0.1983739837398374,1.7491244527829894,1.0,0.028490086087462202,1.1059854318142104,0.6443604674619078,0.174037089871612,0.09582895828958289,0.3924562226391495
15,frozenset({'Chicken Soft Tacos'}),frozenset({'Canned Soft Drink'}),0.05834242093784078,0.1504907306434024,0.011450381679389313,0.19626168224299065,1.3041446566436408,1.0,0.0026703881249487155,1.0569475793157668,0.24766316486061712,0.058011049723756904,0.05387928448886062,0.1361743193823649
41,frozenset({'Bottled Water'}),"frozenset({'Chips', 'Chicken Bowl'})",0.08396946564885496,0.06652126499454744,0.015267175572519083,0.18181818181818182,2.7332339791356186,1.0,0.009681420496641054,1.1409184538955532,0.6922619047619047,0.1129032258064516,0.12351316907391674,0.20566318926974664
12,frozenset({'Chicken Bowl'}),frozenset({'Canned Soft Drink'}),0.33533260632497275,0.1504907306434024,0.06052344601962922,0.18048780487804877,1.1993283845881937,1.0,0.010058997085227651,1.0366035727268006,0.25004988581690785,0.1423076923076923,0.03531106171138732,0.2913308589607635
9,frozenset({'Bottled Water'}),frozenset({'Steak Bowl'}),0.08396946564885496,0.1025081788440567,0.014176663031624863,0.16883116883116883,1.6470019342359767,1.0,0.005569106029452162,1.0797948473282442,0.42884615384615377,0.08227848101265824,0.07389815530763283,0.15356452058579717
6,frozenset({'Chips'}),frozenset({'Bottled Water'}),0.1134133042529989,0.08396946564885496,0.019083969465648856,0.16826923076923078,2.0039335664335667,1.0,0.009560714910053527,1.1013546308961744,0.5650676506765067,0.10703363914373089,0.09202724358974361,0.197770979020979
45,frozenset({'Chips'}),"frozenset({'Chicken Bowl', 'Canned Soft Drink'})",0.1134133042529989,0.06052344601962922,0.019083969465648856,0.16826923076923078,2.7802321552321554,1.0,0.01221980546778469,1.1295440649012551,0.7222280794236513,0.12323943661971833,0.11468703959998215,0.24179227304227305
48,"frozenset({'Chicken Bowl', 'Chips and Guacamole'})",frozenset({'Canned Soft Drink'}),0.0812431842966194,0.1504907306434024,0.012540894220283533,0.15436241610738255,1.0257270693512304,1.0,0.0003145480556886824,1.0045784216994684,0.027299703264095,0.0572139303482587,0.004557555289434909,0.11884787472035793
27,frozenset({'Steak Bowl'}),frozenset({'Chips'}),0.1025081788440567,0.1134133042529989,0.015267175572519083,0.14893617021276595,1.313216039279869,1.0,0.003641384296857255,1.0417393675027262,0.2657524735289013,0.07608695652173914,0.04006699641464499,0.14177577741407527
8,frozenset({'Steak Bowl'}),frozenset({'Bottled Water'}),0.1025081788440567,0.08396946564885496,0.014176663031624863,0.13829787234042554,1.6470019342359767,1.0,0.005569106029452162,1.0630477806050325,0.4377044583605944,0.08227848101265824,0.05930851063829788,0.15356452058579717
39,frozenset({'Chips'}),"frozenset({'Chicken Bowl', 'Bottled Water'})",0.1134133042529989,0.0376226826608506,0.015267175572519083,0.1346153846153846,3.5780379041248604,1.0,0.011000262817090007,1.112080455591906,0.8126866982955544,0.11244979919678715,0.10078448463717585,0.27020624303233
26,frozenset({'Chips'}),frozenset({'Steak Bowl'}),0.1134133042529989,0.1025081788440567,0.015267175572519083,0.1346153846153846,1.313216039279869,1.0,0.003641384296857255,1.0371016600024232,0.2690212616411879,0.07608695652173914,0.03577437143658285,0.14177577741407527
47,frozenset({'Canned Soft Drink'}),"frozenset({'Chips', 'Chicken Bowl'})",0.1504907306434024,0.06652126499454744,0.019083969465648856,0.12681159420289856,1.9063316702304585,1.0,0.009073135693296023,1.0690461861473233,0.5596552356501009,0.09641873278236915,0.06458671949072194,0.20684842005226894
4,frozenset({'Chicken Bowl'}),frozenset({'Bottled Water'}),0.33533260632497275,0.08396946564885496,0.0376226826608506,0.11219512195121951,1.3361419068736142,1.0,0.009464982893104799,1.03179263484607,0.37849983949780647,0.09857142857142857,0.030813008130081303,0.28012353500158377
31,frozenset({'Chips and Guacamole'}),frozenset({'Steak Bowl'}),0.2584514721919302,0.1025081788440567,0.028898582333696837,0.11181434599156118,1.090784630577251,1.0,0.002405192599736705,1.0104777273822259,0.1122364039955604,0.0870279146141215,0.010369082957790522,0.1968646198042912
11,frozenset({'Steak Burrito'}),frozenset({'Canned Soda'}),0.18647764449291168,0.05125408942202835,0.019629225736095966,0.10526315789473684,2.053751399776036,1.0,0.010071483870047058,1.0603630765283212,0.6306970509383378,0.09,0.05692679975801573,0.24412094064949608
51,frozenset({'Canned Soft Drink'}),"frozenset({'Chicken Bowl', 'Chips and Guacamole'})",0.1504907306434024,0.0812431842966194,0.012540894220283533,0.08333333333333333,1.0257270693512304,1.0,0.0003145480556886824,1.0022801625855062,0.029525032092426243,0.0572139303482587,0.002274975272007914,0.11884787472035793
29,frozenset({'Steak Burrito'}),frozenset({'Chips and Fresh Tomato Salsa'}),0.18647764449291168,0.05997818974918211,0.015267175572519083,0.08187134502923976,1.3650186071238704,1.0,0.0040825840271427015,1.0238454111649036,0.3287054768288012,0.06603773584905659,0.023290050338530006,0.16820839978734714
14,frozenset({'Canned Soft Drink'}),frozenset({'Chicken Soft Tacos'}),0.1504907306434024,0.05834242093784078,0.011450381679389313,0.07608695652173914,1.304144656643641,1.0,0.0026703881249487155,1.0192058502790429,0.27452778287181373,0.058011049723756904,0.01884393645678609,0.1361743193823649
24,frozenset({'Steak Burrito'}),frozenset({'Chicken Soft Tacos'}),0.18647764449291168,0.05834242093784078,0.013086150490730643,0.07017543859649122,1.20282013444827,1.0,0.0022065932602281634,1.0127260755951524,0.2072721179624665,0.05647058823529411,0.012566157722041059,0.147237252008526
22,frozenset({'Chips and Guacamole'}),frozenset({'Chicken Soft Tacos'}),0.2584514721919302,0.05834242093784078,0.017448200654307525,0.06751054852320675,1.1571434204818802,1.0,0.002369516071681281,1.0098318834286504,0.18313419117647065,0.058287795992714025,0.009736158651743588,0.1832879845419772
35,frozenset({'Chips and Guacamole'}),frozenset({'Veggie Burrito'}),0.2584514721919302,0.04961832061068702,0.016902944383860415,0.06540084388185655,1.3180785459266473,1.0,0.0040790163743371615,1.0168869436355177,0.3254269449715371,0.058052434456928835,0.016606510429905283,0.2030300922705986
33,frozenset({'Chips and Guacamole'}),frozenset({'Veggie Bowl'}),0.2584514721919302,0.04471101417666303,0.014721919302071973,0.056962025316455694,1.2740043223217041,1.0,0.00316629186491915,1.0129910051012567,0.290032679738562,0.051039697542533076,0.012824403213687068,0.19311515899969128
46,frozenset({'Chicken Bowl'}),"frozenset({'Chips', 'Canned Soft Drink'})",0.33533260632497275,0.03162486368593239,0.019083969465648856,0.056910569105691054,1.7995514437902997,1.0,0.008479121501173163,1.0268115669537095,0.6684636118598383,0.054858934169279,0.02611147733098952,0.33017942248387994
21,frozenset({'Chicken Bowl'}),frozenset({'Chips and Tomatillo Red Chili Salsa'}),0.33533260632497275,0.025081788440567066,0.015812431842966195,0.04715447154471545,1.880028278543655,1.0,0.0074016903538992665,1.0231650172509406,0.7042516477610252,0.04588607594936709,0.02264054855313654,0.33879462707670555
40,frozenset({'Chicken Bowl'}),"frozenset({'Chips', 'Bottled Water'})",0.33533260632497275,0.019083969465648856,0.015267175572519083,0.04552845528455285,2.385691056910569,1.0,0.008867698352576855,1.0277058922974889,0.8738720262510253,0.04501607717041801,0.02695896997880485,0.42276422764227645
2,frozenset({'Chips and Guacamole'}),frozenset({'6 Pack Soft Drink'}),0.2584514721919302,0.029443838604143947,0.011450381679389313,0.04430379746835443,1.5046882325363338,1.0,0.0038405782451667227,1.015548831129439,0.45231092436974796,0.04142011834319527,0.015310766605034847,0.21659634317862167
0,frozenset({'Chicken Burrito'}),frozenset({'6 Pack Soft Drink'}),0.26663031624863687,0.029443838604143947,0.010359869138495093,0.03885480572597137,1.319624327804287,1.0,0.0025092491398983705,1.0097914104735608,0.3302680493054198,0.03625954198473282,0.00969646837159073,0.19535332878891162
50,frozenset({'Chicken Bowl'}),"frozenset({'Chips and Guacamole', 'Canned Soft Drink'})",0.33533260632497275,0.03380588876772083,0.012540894220283533,0.03739837398373984,1.1062680304222396,1.0,0.0012046774306715864,1.0037320581213711,0.1445233084852159,0.035168195718654434,0.003718181651342472,0.20418305795961186
